GMPP ID Number,Project Name,SRO,,,,,,,,,,,,,,,,,,,
MOD_0101_1516-Q1,New Style of Information Technology (Base),David Lynam,,,,,,,,,,,,,,,,,,,
MOD_0110_1718-Q1,MODnet Evolve,David Lynam,,,,,,,,,,,,,,,,,,,
MOD_0115_1718-Q2,Mechanised Infantry Programme,Simon Hamilton,,,,,,,,,,,,,,,,,,,
MOD_0033_1112-Q1,MARSHALL,Richard Barrow,,,,,,,,,,,,,,,,,,,
MOD_0036_1112-Q1,Maritime Sustainment Programme,D Lamb,,,,,,,,,,,,,,,,,,,
MOD_0079_1213-Q1,Lightning Programme,David Bradshaw,,,,,,,,,,,,,,,,,,,
MOD_0111_1718-Q1,Joint Crypt Key Programme,David Lynam,,,,,,,,,,,,,,,,,,,
MOD_0117_1718-Q2,Future Maritime Support Programme,Matthew Harrison,,,,,,,,,,,,,,,,,,,
MOD_0100_1516-Q1,Future Beyond Line Of Sight,Stephen Fisher,,,,,,,,,,,,,,,,,,,
MOD_0116_1718-Q2,Fleet Solid Support,Paul Marshall,,,,,,,,,,,,,,,,,,,
MOD_0080_1213-Q1,DREADNOUGHT,Timothy Hodgson,,,,,,,,,,,,,,,,,,,
MOD_0114_1718-Q1,Defence Estate Optimisation ,Sherin Aminossehe,,,,,,,,,,,,,,,,,,,
MOD_0017_1112-Q1,Crowsnest Programme,Adrian Orchard,,,,,,,,,,,,,,,,,,,
MOD_0078_1213-Q1,Core Production Capability,Tim Hodgson,,,,,,,,,,,,,,,,,,,
MOD_0094_1415-Q3,Contracting; Purchasing and Finance,Lee Rimmer,,,,,,,,,,,,,,,,,,,
MOD_0077_1213-Q1,Complex Weapons,John Cunningham,,,,,,,,,,,,,,,,,,,
MOD_0118_1718-Q3,Clyde Infrastructure,Matt Harrison,,,,,,,,,,,,,,,,,,,
MOD_0064_1112-Q2,Carrier Enabled Power Projection,Richard Knighton,,,,,,,,,,,,,,,,,,,
MOD_0076_1213-Q1,Astute Boats 1-7,Tim Hodgson,,,,,,,,,,,,,,,,,,,
MOD_0085_1314-Q2,Army Basing Programme,David Southall,,,,,,,,,,,,,,,,,,,
MOD_0092_1415-Q3,Armoured Infantry 2026,Simon Hamilton,,,,,,,,,,,,,,,,,,,
